Phenotype Term Name	Phenotype Term ID	Disease Name	Disease ID	Chemical Inference Network	Gene Inference Network	References
cell proliferation	GO:0008283	COVID-19	MESH:D000086382	Azithromycin|betulinic acid|camostat|cepharanthine|Chloroquine|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Toremifene|Zinc|Zinc Sulfate	IFNAR2|TYK2	179
apoptotic process	GO:0006915	COVID-19	MESH:D000086382	Acetazolamide|Azithromycin|betulinic acid|cepharanthine|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	BTK|IL1B|IL2RA|PLSCR1|TNF	316
viral life cycle	GO:0019058	COVID-19	MESH:D000086382	(2-tert-butoxy-1-(2-cyclohexyl-1-(1-formyl-2-(2-oxopyrrolidin-3-yl)ethylcarbamoyl)ethylcarbamoyl)propyl)carbamic acid benzyl ester|Azithromycin|camostat|cepharanthine|Chloroquine|chloroquine diphosphate|galidesivir|Hydroxychloroquine|Lopinavir|lopinavir-ritonavir drug combination|Mefloquine|plitidepsin|remdesivir|Ribavirin|Ritonavir|selamectin|umifenovir	ACE2	64
cell death	GO:0008219	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Dactinomycin|Ivermectin|Losartan|Mefloquine|Melatonin|Mercaptopurine|nafamostat|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate		117
cellular metabolic process	GO:0044237	COVID-19	MESH:D000086382	Azithromycin|betulinic acid|cannabidiolic acid|Chloroquine|chloroquine diphosphate|Emodin|Losartan|Melatonin|Mercaptopurine|plitidepsin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate		72
positive regulation of reactive oxygen species biosynthetic process	GO:1903428	COVID-19	MESH:D000086382	Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|Melatonin|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Zinc		46
positive regulation of apoptotic process	GO:0043065	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Melatonin|selamectin|Sirolimus|Zinc	IL1B|IL6|PLSCR1|TNF	58
positive regulation of cell death	GO:0010942	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|betulinic acid|Chloroquine|chloroquine diphosphate|Emodin|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Tenofovir|Zinc	IL1B	47
lipid catabolic process	GO:0016042	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate		71
response to oxidative stress	GO:0006979	COVID-19	MESH:D000086382	Azithromycin|Chloroquine|Heparin, Low-Molecular-Weight|Losartan|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate		66
reactive oxygen species biosynthetic process	GO:1903409	COVID-19	MESH:D000086382	Chloroquine|Choline|Dactinomycin|Emodin|lopinavir-ritonavir drug combination|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate		42
positive regulation of cell proliferation	GO:0008284	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|betulinic acid|Chloroquine|Emodin|Hydroxychloroquine|Interferon-alpha|Ivermectin|Melatonin|Sirolimus|Zinc	ABO|AGT|CSF3|CXCL10|HCK|IL1B|IL2|IL6|IL7|TNF	47
glutathione metabolic process	GO:0006749	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Choline|Dactinomycin|Emodin|Melatonin|Nifedipine|Sirolimus|Tenofovir|Zinc		33
negative regulation of cell proliferation	GO:0008285	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Hydroxychloroquine|Ivermectin|Melatonin|Nifedipine|Ribavirin|selamectin|Sirolimus	AGT|CXCL8|IL10|IL1B|IL6|TNF	53
mitotic cell cycle arrest	GO:0071850	COVID-19	MESH:D000086382	betulinic acid|cepharanthine|chloroquine diphosphate|Melatonin|Mercaptopurine|Ribavirin|Sirolimus|Zinc|Zinc Sulfate		29
membrane lipid catabolic process	GO:0046466	COVID-19	MESH:D000086382	Active Hexose Correlated Compound|chloroquine diphosphate|Choline|Losartan|Melatonin|Nifedipine|Toremifene|Zinc|Zinc Sulfate		82
glutathione biosynthetic process	GO:0006750	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Dactinomycin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate		43
viral genome replication	GO:0019079	COVID-19	MESH:D000086382	camostat|Chloroquine|Lopinavir|plitidepsin|remdesivir|Ribavirin|Ritonavir|Teicoplanin	CCL2|CD209	32
regulation of blood pressure	GO:0008217	COVID-19	MESH:D000086382	Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc	AGT	254
cell growth	GO:0016049	COVID-19	MESH:D000086382	Chloroquine|chloroquine diphosphate|Emodin|Ivermectin|Melatonin|Ribavirin|Sirolimus|Zinc Sulfate		36
apoptotic DNA fragmentation	GO:0006309	COVID-19	MESH:D000086382	Chloroquine|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate		45
DNA damage response, detection of DNA damage	GO:0042769	COVID-19	MESH:D000086382	betulinic acid|Dactinomycin|Losartan|Melatonin|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate		20
regulation of mitochondrial membrane potential	GO:0051881	COVID-19	MESH:D000086382	Chloroquine|Dactinomycin|Emodin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate		39
superoxide dismutase activity	GO:0004784	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Choline|Emodin|Losartan|Melatonin|Zinc|Zinc Sulfate		33
reactive oxygen species metabolic process	GO:0072593	COVID-19	MESH:D000086382	Chloroquine|Choline|Emodin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate		32
glutathione peroxidase activity	GO:0004602	COVID-19	MESH:D000086382	betulinic acid|Chloroquine|Choline|Emodin|Losartan|Melatonin|Zinc|Zinc Sulfate		30
inflammatory response	GO:0006954	COVID-19	MESH:D000086382	cannabidiolic acid|Choline|Emodin|Losartan|Melatonin|perfluorobutyric acid|Zinc	CCL2|CCL3|CCR2|CRP|CXCL8|HCK|IL10RB|IL1B|IL6|SELE|TNF	27
viral entry into host cell	GO:0046718	COVID-19	MESH:D000086382	4-(4-guanidinobenzoyloxy)phenylacetic acid|baricitinib|camostat|Chloroquine|Hydroxychloroquine|Ivermectin|Teicoplanin	ACE2|BSG|CD209|PLSCR1	37
viral RNA genome replication	GO:0039694	COVID-19	MESH:D000086382	5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol|Chloroquine|favipiravir|galidesivir|plitidepsin|remdesivir|Ribavirin		31
